iter	Passed	Remaining
0	142	142005
1	143	71529
2	144	47864
3	144	36062
4	145	28988
5	146	24237
6	146	20846
7	147	18300
8	148	16332
9	148	14749
10	149	13453
11	150	12377
12	151	11467
13	151	10690
14	152	10014
15	153	9422
16	153	8899
17	154	8436
18	155	8024
19	156	7649
20	156	7309
21	157	7000
22	158	6718
23	158	6456
24	159	6216
25	159	5993
26	160	5782
27	161	5592
28	161	5415
29	162	5244
30	162	5089
31	163	4944
32	164	4809
33	164	4680
34	165	4560
35	166	4445
36	166	4336
37	167	4233
38	167	4136
39	168	4043
40	169	3954
41	169	3871
42	170	3793
43	171	3719
44	171	3648
45	172	3579
46	173	3513
47	173	3449
48	174	3387
49	175	3328
50	175	3271
51	176	3216
52	177	3163
53	177	3111
54	178	3062
55	178	3014
56	179	2969
57	180	2925
58	180	2882
59	181	2841
60	181	2801
61	182	2762
62	183	2725
63	183	2689
64	184	2653
65	185	2621
66	185	2589
67	186	2557
68	187	2526
69	187	2496
70	188	2467
71	188	2435
72	189	2408
73	190	2380
74	190	2353
75	191	2329
76	192	2303
77	192	2279
78	193	2256
79	194	2233
80	194	2210
81	195	2187
82	196	2165
83	196	2144
84	197	2124
85	197	2104
86	198	2084
87	199	2065
88	199	2046
89	200	2028
90	201	2010
91	202	1993
92	202	1976
93	203	1960
94	203	1943
95	204	1927
96	205	1911
97	206	1896
98	206	1881
99	207	1866
100	208	1851
101	208	1837
102	209	1822
103	209	1808
104	210	1795
105	211	1782
106	212	1769
107	212	1756
108	213	1744
109	214	1731
110	214	1719
111	215	1707
112	216	1696
113	216	1685
114	217	1673
115	218	1662
116	218	1651
117	219	1640
118	220	1629
119	220	1619
120	221	1608
121	222	1598
122	222	1588
123	223	1578
124	224	1568
125	224	1557
126	225	1547
127	225	1538
128	226	1527
129	226	1518
130	227	1509
131	228	1499
132	228	1491
133	229	1482
134	230	1474
135	230	1466
136	231	1459
137	232	1450
138	232	1443
139	233	1435
140	234	1427
141	235	1420
142	235	1413
143	236	1406
144	237	1399
145	238	1392
146	238	1385
147	239	1377
148	239	1370
149	240	1363
150	241	1355
151	241	1349
152	242	1342
153	243	1336
154	243	1329
155	244	1323
156	245	1317
157	245	1310
158	246	1304
159	247	1298
160	248	1292
161	248	1286
162	249	1279
163	249	1273
164	250	1267
165	251	1262
166	251	1256
167	252	1250
168	253	1245
169	253	1239
170	254	1234
171	255	1228
172	255	1223
173	256	1218
174	257	1212
175	257	1207
176	258	1201
177	259	1196
178	259	1191
179	260	1186
180	261	1181
181	261	1176
182	262	1171
183	263	1167
184	263	1162
185	264	1157
186	265	1152
187	265	1147
188	266	1143
189	267	1138
190	267	1133
191	268	1127
192	268	1123
193	269	1119
194	270	1114
195	270	1110
196	271	1106
197	271	1100
198	272	1096
199	273	1092
200	273	1087
201	274	1083
202	275	1080
203	275	1075
204	276	1071
205	276	1067
206	277	1063
207	278	1059
208	278	1055
209	279	1051
210	280	1047
211	280	1043
212	281	1040
213	282	1036
214	282	1032
215	283	1028
216	284	1024
217	284	1021
218	285	1017
219	285	1013
220	286	1010
221	287	1006
222	287	1002
223	288	999
224	289	996
225	289	992
226	290	989
227	291	985
228	291	982
229	292	979
230	293	976
231	293	973
232	294	969
233	295	966
234	295	963
235	296	960
236	297	956
237	297	953
238	298	950
239	299	947
240	299	944
241	300	941
242	301	938
243	301	935
244	302	932
245	303	929
246	303	926
247	304	923
248	305	920
249	305	917
250	306	914
251	307	911
252	307	908
253	308	905
254	308	902
255	309	899
256	310	897
257	310	893
258	311	890
259	311	887
260	312	884
261	313	882
262	313	879
263	314	876
264	315	874
265	315	871
266	316	868
267	317	866
268	317	863
269	318	861
270	319	858
271	319	855
272	320	853
273	321	850
274	321	848
275	322	846
276	323	843
277	323	840
278	324	838
279	325	835
280	325	833
281	326	830
282	326	828
283	327	825
284	328	823
285	328	820
286	329	818
287	329	815
288	330	813
289	331	810
290	331	808
291	332	805
292	333	803
293	333	801
294	334	798
295	334	796
296	335	794
297	336	791
298	336	789
299	337	787
300	338	785
301	338	782
302	339	780
303	339	778
304	340	775
305	341	773
306	341	771
307	342	768
308	342	766
309	343	764
310	344	762
311	344	760
312	345	757
313	345	755
314	346	753
315	346	751
316	347	748
317	348	746
318	348	744
319	349	742
320	349	740
321	350	737
322	351	735
323	351	733
324	352	731
325	352	729
326	353	727
327	353	724
328	354	722
329	355	720
330	355	718
331	356	716
332	356	714
333	357	712
334	357	710
335	358	708
336	359	706
337	359	704
338	360	702
339	361	700
340	361	699
341	362	697
342	362	695
343	363	693
344	364	691
345	364	689
346	365	687
347	365	685
348	366	683
349	367	682
350	367	680
351	368	678
352	369	676
353	369	674
354	370	672
355	370	671
356	371	669
357	372	667
358	372	665
359	373	663
360	374	662
361	374	660
362	375	658
363	376	657
364	376	655
365	377	653
366	378	652
367	378	650
368	379	649
369	380	647
370	381	645
371	381	644
372	382	642
373	382	640
374	383	639
375	384	637
376	384	635
377	385	634
378	386	632
379	386	630
380	387	629
381	387	627
382	388	626
383	389	624
384	389	622
385	390	621
386	391	619
387	391	617
388	392	616
389	393	614
390	393	613
391	394	611
392	394	609
393	395	608
394	396	606
395	396	605
396	397	603
397	398	602
398	398	600
399	399	599
400	400	597
401	400	595
402	401	594
403	401	592
404	402	591
405	403	589
406	403	588
407	404	586
408	405	585
409	405	583
410	406	582
411	407	580
412	407	579
413	408	577
414	408	576
415	409	574
416	410	573
417	410	571
418	411	570
419	411	568
420	412	567
421	413	566
422	413	564
423	414	563
424	415	561
425	415	560
426	416	558
427	417	557
428	417	555
429	418	554
430	418	553
431	419	551
432	420	550
433	420	548
434	421	547
435	422	546
436	422	544
437	423	543
438	424	541
439	424	540
440	425	539
441	425	537
442	426	536
443	427	535
444	427	533
445	428	532
446	429	531
447	430	529
448	430	528
449	431	527
450	431	525
451	432	524
452	433	523
453	433	521
454	434	520
455	434	518
456	435	517
457	436	516
458	436	514
459	437	513
