iter	Passed	Remaining
0	135	135631
1	137	68484
2	138	46016
3	139	34772
4	140	28052
5	142	23571
6	143	20387
7	145	17990
8	146	16124
9	147	14618
10	148	13384
11	150	12389
12	151	11528
13	153	10780
14	154	10129
15	155	9587
16	157	9085
17	158	8635
18	159	8235
19	160	7877
20	161	7549
21	163	7269
22	164	7004
23	166	6754
24	167	6526
25	168	6312
26	169	6114
27	170	5931
28	172	5771
29	173	5611
30	174	5461
31	175	5318
32	177	5188
33	178	5065
34	179	4947
35	180	4836
36	181	4731
37	182	4631
38	184	4535
39	185	4444
40	186	4363
41	187	4283
42	189	4207
43	190	4136
44	192	4077
45	193	4011
46	194	3946
47	195	3883
48	197	3824
49	198	3769
50	199	3715
51	200	3664
52	202	3613
53	203	3564
54	204	3518
55	207	3489
56	208	3448
57	209	3404
58	210	3362
59	212	3326
60	213	3287
61	214	3249
62	216	3212
63	217	3175
64	218	3139
65	219	3105
66	220	3076
67	222	3045
68	223	3014
69	224	2982
70	225	2956
71	227	2927
72	228	2899
73	229	2872
74	230	2844
75	231	2818
76	232	2791
77	233	2765
78	235	2740
79	236	2717
80	237	2694
81	238	2670
82	239	2642
83	240	2621
84	241	2601
85	242	2581
86	244	2561
87	245	2541
88	246	2523
89	247	2504
90	248	2485
91	250	2470
92	251	2453
93	252	2436
94	254	2419
95	255	2402
96	256	2386
97	257	2371
98	258	2355
99	259	2339
100	261	2323
101	262	2308
102	263	2293
103	264	2280
104	265	2266
105	267	2253
106	268	2240
107	269	2227
108	270	2214
109	271	2200
110	273	2187
111	274	2174
112	275	2161
113	276	2148
114	277	2137
115	278	2124
116	279	2113
117	281	2102
118	282	2091
119	283	2079
120	284	2068
121	285	2056
122	286	2045
123	288	2034
124	289	2024
125	290	2014
126	291	2002
127	292	1992
128	295	1992
129	296	1983
130	297	1973
131	298	1963
132	300	1957
133	301	1949
134	302	1940
135	304	1932
136	305	1924
137	306	1915
138	307	1907
139	309	1899
140	310	1891
141	311	1880
142	312	1872
143	313	1864
144	314	1856
145	316	1848
146	317	1841
147	318	1833
148	319	1825
149	320	1818
150	322	1810
151	323	1803
152	324	1796
153	325	1789
154	326	1782
155	328	1775
156	329	1768
157	330	1762
158	331	1755
159	333	1748
160	333	1739
161	334	1732
162	336	1726
163	337	1720
164	338	1714
165	340	1708
166	341	1702
167	342	1696
168	343	1690
169	344	1684
170	346	1678
171	347	1672
172	348	1667
173	350	1661
174	351	1655
175	352	1650
176	354	1647
177	355	1642
178	356	1636
179	358	1630
180	359	1625
181	360	1619
182	361	1613
183	362	1608
184	363	1602
185	364	1597
186	366	1592
187	367	1586
188	368	1581
189	369	1576
190	370	1570
191	372	1565
192	373	1560
193	374	1554
194	375	1549
195	376	1544
196	377	1538
197	378	1533
198	379	1528
199	380	1523
200	382	1518
201	383	1513
202	384	1509
203	385	1504
204	386	1499
205	387	1495
206	389	1490
207	390	1485
208	391	1481
209	392	1476
210	393	1472
211	395	1468
212	397	1467
213	398	1464
214	399	1460
215	401	1456
216	402	1452
217	403	1447
218	404	1443
219	405	1439
220	407	1435
221	408	1431
222	409	1427
223	410	1423
224	412	1419
225	413	1416
226	414	1412
227	415	1408
228	417	1404
229	418	1400
230	419	1396
231	420	1392
232	421	1389
233	423	1385
234	424	1381
235	425	1377
236	426	1373
237	428	1370
238	429	1367
239	430	1363
240	431	1360
241	433	1356
242	434	1354
243	437	1355
244	439	1354
245	440	1351
246	442	1347
247	443	1344
248	444	1341
249	446	1338
250	447	1334
251	448	1331
252	449	1327
253	450	1324
254	451	1320
255	453	1316
256	454	1313
257	455	1309
258	456	1306
259	457	1302
260	459	1299
261	460	1296
262	461	1293
263	462	1289
264	463	1286
265	464	1282
266	466	1279
267	467	1276
268	468	1273
269	469	1270
270	471	1268
271	472	1265
272	474	1262
273	475	1259
274	476	1256
275	477	1253
276	479	1251
277	480	1248
278	481	1245
279	483	1242
280	484	1239
281	486	1238
282	488	1237
283	489	1234
284	490	1231
285	492	1228
286	493	1226
287	494	1223
288	496	1220
289	497	1217
290	498	1214
291	499	1211
292	501	1209
293	502	1206
294	503	1204
295	505	1201
296	506	1198
297	507	1195
298	508	1192
299	509	1189
300	510	1186
301	512	1184
302	513	1181
303	514	1178
304	515	1175
305	517	1172
306	518	1170
307	519	1167
308	520	1164
309	521	1161
310	522	1158
311	524	1155
312	525	1152
313	526	1150
314	527	1147
315	528	1144
316	529	1141
317	531	1139
318	532	1136
319	533	1133
320	534	1131
321	536	1128
322	537	1125
323	538	1123
324	539	1120
325	540	1118
326	542	1115
327	543	1113
328	544	1110
329	545	1108
330	547	1106
331	548	1103
332	549	1101
333	550	1098
334	552	1095
335	553	1093
336	554	1091
337	555	1088
338	557	1086
339	558	1083
340	559	1081
341	560	1078
342	561	1076
343	563	1073
344	564	1071
345	565	1069
346	566	1066
347	567	1064
348	569	1061
349	570	1059
350	571	1056
351	572	1054
352	574	1052
353	575	1050
354	576	1048
355	578	1045
356	579	1043
357	580	1040
358	581	1038
359	583	1036
360	584	1035
361	586	1032
362	587	1030
363	589	1029
364	590	1027
365	591	1024
366	592	1022
367	594	1020
368	595	1018
369	596	1015
370	597	1013
371	599	1011
372	600	1008
373	601	1006
374	602	1004
375	603	1001
376	604	999
377	606	997
378	607	994
379	608	992
380	609	990
381	610	988
382	612	985
383	613	983
384	614	981
385	615	979
386	616	976
387	617	974
388	619	972
389	620	970
390	621	968
391	622	965
392	623	963
393	625	961
394	626	959
395	627	957
396	628	954
397	629	952
398	630	950
399	632	948
400	633	946
401	634	944
402	635	941
403	636	939
404	638	937
405	639	935
406	640	933
407	641	930
408	642	928
409	643	926
410	645	924
411	646	922
412	647	920
413	648	917
414	649	915
415	650	913
416	652	911
417	653	909
418	654	907
419	655	905
420	656	903
421	657	900
422	658	898
423	659	896
424	661	894
425	662	892
426	663	890
427	664	888
428	666	886
429	667	884
430	668	882
431	669	880
432	670	878
433	671	876
434	672	874
435	674	871
436	675	869
437	676	867
438	677	865
439	678	863
440	679	861
441	680	859
442	681	857
443	683	855
444	684	853
445	685	851
446	686	849
447	687	847
448	688	845
449	689	843
450	690	840
451	691	838
452	693	836
453	694	835
454	695	833
455	696	831
456	698	829
457	699	827
458	700	825
459	701	823
460	702	821
461	703	819
462	705	817
463	706	815
464	707	814
465	708	812
466	710	810
467	711	808
468	712	806
469	713	804
470	714	802
471	716	801
472	717	799
473	718	797
474	720	796
475	721	794
476	723	792
477	724	791
478	725	789
479	726	787
480	727	785
481	728	783
482	730	781
483	731	779
